nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
IIM SITI MASYITOH,Pendidikan Kewarganegaraan (S2),5992560,0,3,36,130,0,0
ASIH PURWANDARI WAHYOE PUSPITA,Keperawatan (D3),6736204,0,3,36,45,0,0
ENDA PERMANA,Pendidikan Teknik Mesin (S1),6121829,0,2,36,96,0,0
AGUS NUR SALIM,Pendidikan Seni Rupa (S1),6649889,0,3,36,68,0,0
LABIBATUSSOLIHAH,Pendidikan Sejarah (S1),6705586,0,1,36,44,0,0
YANI FITRIYANI,Unknown,6737933,0,0,36,37,0,0
SRI WIYANTI,Bahasa dan Sastra Indonesia (S1),5982361,0,1,35,63,0,0
LUCY YOSITA,Arsitektur (D3),6005978,0,3,35,154,0,0
ANWAR SANUSI,Unknown,6740451,0,4,35,43,0,0
HIMAWAN PRASETIYO,Unknown,6745744,1,2,26,32,0,0
DEWI INDRIATI HADI PUTRI,Sistem Telekomunikasi (S1),6720737,2,4,25,74,0,0
RITA MILYARTINI,Pendidikan Seni (S3),5978994,0,5,25,126,0,0
AHMAD SUGIANTO,Unknown,6748089,0,4,25,30,0,0
DEDY SURYADI,Pendidikan Teknik Bangunan (S1),5993912,1,3,25,85,0,0
AAS NURASYIAH,Ilmu Ekonomi dan Keuangan Islam (S1),5994697,0,4,25,96,0,0
YUNYUN YUDIANA,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",5994858,0,12,25,177,0,0
ENCEP SUDIRJO,PGSD Penjas Kampus Sumedang (S1),6144884,0,6,25,94,0,0
SYIFA F. SYIHAB,Unknown,6681556,1,3,25,61,0,0
GANO SUMARNO,PGSD Pendidikan Jasmani (S1),5994887,0,3,24,42,0,0
CHAIRUL FURQON,Manajemen (S1),5994043,0,5,26,114,0,0
DARSIHARJO,Pendidikan Geografi (S2),5996446,1,5,26,101,0,0
SYTI SARAH MAESAROH,Bisnis Digital (S1),6681118,0,2,26,44,0,0
TONI HERYANA,Akuntansi (S1),5995980,1,4,26,96,0,0
FRAHMA SEKARNINGSIH,Pendidikan Seni Tari (S1),5993485,0,2,26,72,0,0
ALFIRA SOFIA,Manajemen (S2),259602,1,3,26,119,0,0
SUCIATI,Pendidikan Tata Busana (S1),5993193,1,1,26,134,0,0
NADIA AULIA NADHIRAH,Bimbingan Dan Konseling (S1),6141923,1,1,26,32,0,0
LAKSMI DEWI,Pengembangan Kurikulum (S2),5978451,0,11,26,280,0,0
EFFY MULYASARI,Pendidikan Guru Sekolah Dasar (S1),5993306,0,5,26,104,0,0
TEGUH IBRAHIM,Unknown,5994738,0,5,28,81,0,0
DEWI TURGARINI,Manajemen Industri Katering (S1),6681270,0,4,28,117,0,0
NENI ROHAENI,Pendidikan Kesejahteraan Keluarga (S1),5978803,0,4,28,124,0,0
ENCEP SUPRIATNA,Pendidikan Sejarah (S2),5998557,0,5,28,86,0,0
YATI RUHAYATI,Ilmu Keolahragaan (S1),6653699,1,5,28,118,0,0
NENDEN RANI RINEKASARI,Pendidikan Kesejahteraan Keluarga (S1),5993613,0,4,28,63,0,0
ROSARINA GIYARTINI,PGSD Kampus Tasikmalaya (S1),6142244,0,4,28,55,0,0
HANIFA ZULHAIMI,Akuntansi (S1),259601,0,4,27,62,0,0
PURNA HINDAYANI,Pendidikan Pariwisata (S1),6745708,1,3,27,84,0,0
TARUNASENA,Pendidikan Sejarah (S1),5992788,0,3,27,219,0,0
ENTIT PUSPITA,Matematika (S1),5986409,3,4,32,182,0,0
BADRU ZAMAN,Pendidikan Guru Pendidikan Anak Usia Dini (S1),6126038,1,0,32,122,0,0
ISHAK ARIAWAN,Unknown,6745750,1,1,32,50,0,0
RETTY ISNENDES,Linguistik (S2),5994546,0,5,32,155,0,0
ASEP DENI GUSTIANA,Pendidikan Guru Pendidikan Anak Usia Dini (S1),5994314,0,4,31,110,0,0
MARGARETHA SRI Y,PGPAUD Kampus Cibiru (S1),5994324,0,6,31,144,0,0
ANNISA CIPTAGUSTIA,Manajemen (S1),5994482,0,2,31,46,0,0
NOVRIZAL ACHMAD NOVAN,Unknown,6681784,0,2,31,36,0,0
IRWAN SARBENI,Film dan Televisi (S1),6720860,0,2,31,38,0,0
HERBERT SIREGAR,Ilmu Komputer (S1),5991008,2,6,31,232,0,0
ACENG RUHENDI SYAIFULLAH,Linguistik (S3),6005752,0,4,33,78,0,0
SUSAN FITRIASARI,Pendidikan Pancasila Dan Kewarganegaraan (S1),5989821,0,4,33,104,0,0
HERNIWATI,Pendidikan Bahasa Jepang (S2),6005824,0,3,33,933,0,0
LUKMAN HAKIM,Pendidikan Bahasa Inggris (S1),6754055,1,1,33,34,0,0
PUJI RAHAYU,PGSD Kampus Purwakarta (S1),5993194,0,0,33,75,0,0
KUSNADI,Pendidikan Biologi (S1),6002975,2,6,33,188,0,0
PANDU HYANGSEWU,Pendidikan Sosiologi (S1),6656623,1,0,33,39,0,0
